City_ID,City,Country,Date,Lat,Lng,Overall Weather,Weather Description,Max Temp,Humidity,Cloudiness,Wind Speed,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
506,Dongfeng,CN,2022-02-06 15:06:37,42.6403,125.5118,Clear,clear sky,2.14,87,4,4.47,0.0,0.0
507,Phan Thiet,VN,2022-02-06 15:01:54,10.9333,108.1,Clouds,overcast clouds,77.02,76,100,9.48,0.0,0.0
508,San Borja,BO,2022-02-06 15:06:38,-14.8167,-66.85,Rain,moderate rain,71.51,99,100,6.04,0.0,0.0
509,Dekalb,US,2022-02-06 15:06:38,33.7504,-84.2333,Clear,clear sky,39.16,54,0,10.36,0.0,0.0
510,Batagay,RU,2022-02-06 15:06:38,67.6333,134.6333,Clouds,overcast clouds,-38.38,97,100,1.92,0.0,0.0
511,Namatanai,PG,2022-02-06 15:06:39,-3.6667,152.4333,Clouds,overcast clouds,80.11,81,90,4.25,0.0,0.0
512,Severo-Kurilsk,RU,2022-02-06 15:06:39,50.6789,156.125,Clouds,overcast clouds,30.34,86,100,8.52,0.0,0.0
513,Goba,ET,2022-02-06 15:06:40,7.0167,39.9833,Clouds,overcast clouds,63.84,22,100,6.38,0.0,0.0
514,Celestun,MX,2022-02-06 15:06:40,20.8667,-90.4,Clouds,broken clouds,73.76,77,58,12.5,0.0,0.0
515,Mosquera,CO,2022-02-06 15:05:51,4.7059,-74.2302,Clouds,broken clouds,60.89,72,75,5.75,0.0,0.0
516,Mountain Home,US,2022-02-06 15:03:59,43.133,-115.6912,Clear,clear sky,25.79,100,0,3.44,0.0,0.0
517,Lasa,IT,2022-02-06 15:06:41,46.6166,10.7002,Clouds,overcast clouds,43.54,76,91,3.67,0.0,0.0
518,Barra,BR,2022-02-06 15:06:41,-11.0894,-43.1417,Clouds,broken clouds,86.45,48,82,6.91,0.0,0.0
519,Camapua,BR,2022-02-06 15:06:41,-19.5314,-54.0439,Clouds,overcast clouds,82.47,73,100,3.27,0.0,0.0
520,Bunia,CD,2022-02-06 15:06:42,1.5667,30.25,Clouds,overcast clouds,85.1,21,98,6.26,0.0,0.0
521,Karratha,AU,2022-02-06 15:06:42,-20.7377,116.8463,Clouds,few clouds,84.52,80,22,3.74,0.0,0.0
522,Beloha,MG,2022-02-06 15:06:42,-25.1667,45.05,Rain,light rain,75.27,91,100,22.73,0.0,0.0
523,At-Bashi,KG,2022-02-06 15:06:43,41.1702,75.8106,Snow,light snow,16.88,96,100,3.65,0.0,0.0
524,Joetsu,JP,2022-02-06 15:06:43,37.1483,138.2364,Snow,light snow,33.76,74,100,20.22,0.0,0.0
525,Opuwo,NA,2022-02-06 15:06:44,-18.0607,13.84,Clouds,overcast clouds,82.8,25,99,6.58,0.0,0.0
526,Bhimavaram,IN,2022-02-06 15:06:44,16.5333,81.5333,Clouds,few clouds,70.66,75,19,6.78,0.0,0.0
527,Namibe,AO,2022-02-06 15:06:44,-15.1961,12.1522,Clouds,overcast clouds,78.55,59,92,15.97,0.0,0.0
528,Helong,CN,2022-02-06 15:06:45,42.5397,128.9972,Clouds,broken clouds,8.17,80,64,7.11,0.0,0.0
529,El Alto,PE,2022-02-06 15:06:45,-4.2714,-81.2147,Clouds,broken clouds,74.86,63,67,11.86,0.0,0.0
530,Tabou,CI,2022-02-06 15:06:45,4.423,-7.3528,Clouds,broken clouds,84.34,65,83,9.26,0.0,0.0
531,Port Blair,IN,2022-02-06 15:06:46,11.6667,92.75,Clear,clear sky,79.74,78,10,11.05,0.0,0.0
532,Susangerd,IR,2022-02-06 15:06:46,31.5608,48.1831,Clear,clear sky,64.42,36,0,11.32,0.0,0.0
533,Sicamous,CA,2022-02-06 15:06:47,50.8331,-118.9856,Clouds,overcast clouds,31.28,96,100,3.29,0.0,0.0
534,Coihaique,CL,2022-02-06 15:06:47,-45.5752,-72.0662,Clear,clear sky,68.61,55,0,4.61,0.0,0.0
535,San Ignacio,BZ,2022-02-06 15:06:47,17.1561,-89.0714,Clouds,overcast clouds,68.04,97,100,0.74,0.0,0.0
536,Matara,LK,2022-02-06 15:06:48,5.9485,80.5353,Clouds,broken clouds,77.49,79,80,3.2,0.0,0.0
537,Saint-Joseph,RE,2022-02-06 15:06:48,-21.3667,55.6167,Clouds,overcast clouds,80.98,76,100,12.19,0.0,0.0
538,Sisimiut,GL,2022-02-06 15:06:48,66.9395,-53.6735,Clouds,overcast clouds,-0.54,89,100,7.0,0.0,0.0
539,Hofn,IS,2022-02-06 15:03:11,64.2539,-15.2082,Clear,clear sky,32.02,51,0,18.41,0.0,0.0
540,Thinadhoo,MV,2022-02-06 15:06:49,0.5333,72.9333,Clear,clear sky,82.72,69,9,10.29,0.0,0.0
541,Teluk Intan,MY,2022-02-06 15:06:49,4.0259,101.0213,Clouds,overcast clouds,75.02,94,97,1.12,0.0,0.0
542,Beira,MZ,2022-02-06 15:06:49,-19.8436,34.8389,Rain,light rain,81.5,77,8,12.71,0.0,0.0
543,Saint George,US,2022-02-06 15:06:50,37.1041,-113.5841,Clear,clear sky,42.35,47,0,0.0,0.0,0.0
544,Monticello,US,2022-02-06 15:06:50,45.3055,-93.7941,Clouds,overcast clouds,23.32,83,100,13.8,0.0,0.0
545,Amahai,ID,2022-02-06 15:06:50,-3.3333,128.9167,Clouds,overcast clouds,79.21,81,95,3.76,0.0,0.0
546,Kuah,MY,2022-02-06 15:06:51,6.3265,99.8432,Rain,heavy intensity rain,82.09,71,58,16.06,0.0,0.0
547,Andenes,NO,2022-02-06 15:03:10,69.3143,16.1194,Clear,clear sky,30.18,69,0,11.5,0.0,0.0
548,Nioaque,BR,2022-02-06 15:06:51,-21.1353,-55.83,Clouds,overcast clouds,82.13,70,97,7.85,0.0,0.0
549,Kostomuksha,RU,2022-02-06 15:06:51,64.571,30.5767,Clouds,overcast clouds,19.49,92,100,10.98,0.0,0.0
550,Opelousas,US,2022-02-06 15:06:52,30.5335,-92.0815,Clear,clear sky,41.88,70,0,3.44,0.0,0.0
